age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
34,admin,married,secondary,no,1049,yes,no,unknown,23,may,25,14,-1,0,unknown,no
34,blue-collar,married,secondary,no,765,no,no,cellular,25,jul,238,1,-1,0,unknown,no
58,unemployed,married,secondary,no,2690,no,no,cellular,7,aug,142,2,-1,0,unknown,no
28,housemaid,married,secondary,no,15,yes,no,telephone,25,jul,133,7,-1,0,unknown,no
38,management,married,tertiary,no,1257,no,no,cellular,12,oct,166,1,-1,0,unknown,no
46,admin,married,secondary,no,0,no,no,cellular,5,aug,109,1,-1,0,unknown,no
33,management,single,secondary,no,1473,no,no,telephone,4,feb,43,1,-1,0,unknown,no
34,management,married,tertiary,no,1388,yes,no,cellular,1,sep,222,1,93,4,failure,no
46,services,divorced,secondary,no,0,no,no,cellular,17,nov,407,1,150,3,success,no
28,technician,single,secondary,no,2335,no,no,cellular,13,may,624,1,-1,0,unknown,yes
52,admin,married,secondary,no,2347,no,yes,cellular,12,aug,603,3,-1,0,unknown,no
25,student,single,tertiary,no,1189,no,no,cellular,3,dec,110,1,183,1,success,no
66,admin,divorced,secondary,no,220,no,no,cellular,28,aug,283,1,-1,0,unknown,no
36,admin,married,tertiary,no,828,yes,no,unknown,29,may,116,1,-1,0,unknown,no
32,technician,divorced,tertiary,no,31,no,yes,cellular,8,jul,259,1,-1,0,unknown,no
30,technician,married,tertiary,no,296,no,no,cellular,22,aug,1809,5,-1,0,unknown,no
33,management,married,tertiary,no,1071,no,no,cellular,12,aug,83,4,-1,0,unknown,no
36,admin,married,secondary,no,234,yes,no,unknown,27,may,219,1,-1,0,unknown,no
26,student,single,tertiary,no,5741,no,no,cellular,25,may,327,1,-1,0,unknown,no
54,retired,married,secondary,no,529,yes,no,unknown,5,may,1492,1,-1,0,unknown,no
52,services,married,primary,no,2618,yes,no,cellular,21,nov,73,2,-1,0,unknown,no
41,admin,married,secondary,no,437,yes,no,cellular,2,feb,138,1,-1,0,unknown,no
37,blue-collar,married,secondary,no,151,yes,no,unknown,5,jun,202,1,-1,0,unknown,no
46,self-employed,married,primary,no,3155,yes,no,cellular,21,nov,271,1,-1,0,unknown,no
38,technician,married,tertiary,no,1042,yes,no,cellular,4,feb,419,2,-1,0,unknown,no
33,management,single,tertiary,no,896,yes,no,cellular,19,nov,577,1,-1,0,unknown,no
31,blue-collar,married,secondary,no,754,yes,no,unknown,19,may,1022,4,-1,0,unknown,yes
52,management,married,tertiary,no,7388,no,yes,unknown,17,jun,291,2,-1,0,unknown,no
50,housemaid,single,secondary,no,799,no,no,telephone,28,jan,63,1,-1,0,unknown,no
59,retired,married,tertiary,no,1296,no,no,cellular,11,aug,862,11,-1,0,unknown,no
32,self-employed,single,tertiary,no,0,yes,no,cellular,6,may,767,1,-1,0,unknown,yes
40,management,married,tertiary,no,917,yes,no,unknown,20,may,292,1,-1,0,unknown,no
32,management,married,tertiary,no,5878,no,no,cellular,19,aug,159,2,-1,0,unknown,no
31,management,single,tertiary,no,1130,yes,no,cellular,17,apr,224,3,74,4,failure,no
30,management,single,tertiary,no,596,no,no,cellular,4,jun,125,2,-1,0,unknown,no
44,housemaid,single,primary,no,1059,no,no,unknown,18,jun,2093,1,-1,0,unknown,yes
31,blue-collar,married,secondary,no,536,yes,no,cellular,14,may,22,6,-1,0,unknown,no
40,unemployed,single,secondary,no,334,no,no,cellular,5,mar,219,1,91,6,other,yes
32,technician,married,tertiary,no,1037,yes,no,unknown,26,may,125,3,-1,0,unknown,no
56,management,married,tertiary,no,616,no,no,cellular,30,apr,225,1,83,1,success,yes
27,management,single,tertiary,no,446,no,no,cellular,23,jun,205,3,-1,0,unknown,no
32,blue-collar,married,secondary,no,7107,yes,no,cellular,17,apr,882,2,-1,0,unknown,no
38,management,married,tertiary,no,441,yes,yes,cellular,22,aug,82,7,-1,0,unknown,no
44,technician,single,secondary,no,1679,no,no,telephone,20,oct,718,1,-1,0,unknown,yes
32,blue-collar,married,primary,no,-145,yes,yes,cellular,7,may,273,1,-1,0,unknown,no
62,retired,married,secondary,no,1495,no,no,cellular,13,oct,896,1,57,2,success,yes
31,technician,married,tertiary,no,26,no,yes,cellular,18,nov,419,1,127,6,other,yes
28,blue-collar,single,secondary,yes,0,no,yes,cellular,10,jul,165,1,-1,0,unknown,no
39,entrepreneur,divorced,secondary,no,1202,yes,no,unknown,23,may,364,2,-1,0,unknown,no
60,blue-collar,married,primary,no,7929,no,no,unknown,1,apr,111,1,-1,0,unknown,yes
50,technician,divorced,secondary,no,75,yes,no,cellular,6,aug,101,1,-1,0,unknown,no
50,services,married,secondary,no,1134,no,no,unknown,18,jun,53,2,-1,0,unknown,no
46,technician,married,secondary,no,488,no,no,unknown,5,jun,92,1,-1,0,unknown,no
50,blue-collar,married,primary,no,3304,yes,no,cellular,20,apr,218,1,-1,0,unknown,no
33,admin,married,secondary,no,0,no,no,cellular,4,nov,86,3,-1,0,unknown,no
38,management,single,tertiary,no,1637,no,yes,cellular,5,aug,231,1,-1,0,unknown,no
62,technician,married,secondary,no,973,no,no,cellular,2,feb,326,1,-1,0,unknown,yes
38,management,single,tertiary,no,-476,yes,no,cellular,28,jul,76,2,-1,0,unknown,no
49,self-employed,single,tertiary,no,21,yes,no,unknown,14,may,248,1,-1,0,unknown,no
31,services,single,secondary,no,2070,no,no,cellular,29,aug,319,2,-1,0,unknown,no
53,technician,married,tertiary,no,7,no,yes,cellular,8,may,57,1,368,1,failure,no
